"","pkg_name","title","pkg_ver","license","roxygen","n_depends","rversion"
"PRIMME","PRIMME","Eigenvalues and Singular Values and Vectors from Large Matrices","2.1-0","GPL-3","6.0.1",4,NA
"rSQM","rSQM","Statistical Downscaling Toolkit for Climate Change Scenario","1.2.42","GPL (>= 2)","6.0.1",14,">= 3.3.3"
"tsdf","tsdf","Two-/Three-Stage Designs for Phase 1&2 Clinical Trials","1.1-2","GPL-2","6.0.1",3,NA
"brant","brant","Test for Parallel Regression Assumption","0.1-0","GPL (>= 2)",NA,1,">= 3.1.0"
"IATScore","IATScore","Scoring Algorithm for the Implicit Association Test (IAT)","0.1.0","MIT + file LICENSE","6.0.1",0,NA
"influxdbr","influxdbr","R Interface to InfluxDB","0.12.0","GPL-3","6.0.1",10,NA
"MultiRNG","MultiRNG","Multivariate Pseudo-Random Number Generation","1.0","GPL-2 | GPL-3",NA,0,NA
"RandPro","RandPro","Random Projection","0.1.0","GPL (>= 2)","5.0.1",1,NA
"rFSA","rFSA","Feasible Solution Algorithm for Finding Best Subsets and","0.1.0","GPL-2","5.0.1",2,">= 2.15.0"
"UnivRNG","UnivRNG","Univariate Pseudo-Random Number Generation","1.0","GPL-2 | GPL-3","5.0.1",0,NA
"elevatr","elevatr","Access Elevation Data from Various APIs","0.1.0","CC0","5.0.1",12,">= 3.0.0"
"Rbgs","Rbgs","Video Reading and Background Subtraction in Videos","0.0.1","GPL-2","6.0.1",7,">= 3.2.4"
"RGBM","RGBM","LS-TreeBoost and LAD-TreeBoost for Gene Regulatory Network","1.0-4","GPL (>= 3)",NA,3,NA
"univOutl","univOutl","Detection of Univariate Outliers","0.1-3","GPL (>= 2)",NA,2,NA
"constants","constants","Reference on Constants, Units and Uncertainty","0.0.1","MIT + file LICENSE","6.0.1",3,">= 3.0.0"
"csv","csv","Read and Write CSV Files with Selected Conventions","0.3","GPL-3","6.0.1",0,NA
"dynsbm","dynsbm","Dynamic Stochastic Block Models","0.3","GPL-3",NA,8,NA
"sgee","sgee","Stagewise Generalized Estimating Equations","0.2-0","GPL (>= 3)","5.0.1",3,">= 3.0.0"
"grove","grove","Wavelet Functional ANOVA Through Markov Groves","1.0","GPL (>= 3)",NA,5,NA
"fmbasics","fmbasics","Financial Market Building Blocks","0.1.0","GPL-2","6.0.1",7,NA
"MatManlyMix","MatManlyMix","Matrix Clustering with Gaussian and Manly Mixture Models","0.1.2","GPL (>= 2)",NA,0,">= 3.0.0"
"fastrtext","fastrtext","'fastText' Wrapper for Text Classification and Word","0.2.0","MIT + file LICENSE","6.0.1",6,NA
"fmdates","fmdates","Financial Market Date Calculations","0.1.0","GPL-2","5.0.1.9000",9,NA
"ipft","ipft","Indoor Positioning Fingerprinting Toolset","0.1.03","GPL (>= 2)","5.0.1",8,">= 2.10"
"SparseDC","SparseDC","Implementation of SparseDC Algorithm","0.1.5","GPL-3","6.0.1",3,">= 3.1.0"
"tidystringdist","tidystringdist","String Distance Calculation with Tidy Data Principles","0.1.0","MIT + file LICENSE","6.0.1.9000",6,NA
"Biolinv","Biolinv","Modelling and Forecasting Biological Invasions","0.1-1","GPL-3","5.0.1",7,">= 3.2.4"
"miRNAss","miRNAss","Genome-Wide Discovery of Pre-miRNAs with few Labeled Examples","1.0","Apache License 2.0","6.0.1",6,NA
"naivebayes","naivebayes","High Performance Implementation of the Naive Bayes Algorithm","0.9.0","GPL-2",NA,0,NA
"sofa","sofa","Connector to 'CouchDB'","0.2.0","MIT + file LICENSE","5.0.1",9,NA
"bhm","bhm","Biomarker Threshold Models","1.1","GPL (>= 2)",NA,3,NA
"rxylib","rxylib","Import XY-Data into R","0.1.0","GPL-3 | LGPL-2.1","6.0.1",7,">= 3.3.0"
"widgetframe","widgetframe","'Htmlwidgets' in Responsive 'iframes'","0.1.0","MIT + file LICENSE","6.0.1",8,">= 3.1.0"
"msde","msde","Bayesian Inference for Multivariate Stochastic Differential","1.0.2","GPL-3","6.0.1",10,">= 3.0.0"
"mudfold","mudfold","A Nonparametric Model for Unfolding Scale Analysis","1.0","GPL (>= 2)",NA,6,">= 3.3.3"
"AmesHousing","AmesHousing","The Ames Iowa Housing Data","0.0.2","GPL-2","6.0.1",2,">= 2.10"
"PKPDmisc","PKPDmisc","Pharmacokinetic and Pharmacodynamic Data Management Functions","2.0.0","MIT + file LICENSE","6.0.1",18,">= 3.2.2"
"stringformattr","stringformattr","Dynamic String Formatting","0.1.0","MIT + file LICENSE","5.0.1",1,NA
"SyncRNG","SyncRNG","A Synchronized Tausworthe RNG for R and Python","1.2.1","GPL-2","5.0.1",2,">= 3.0.0"
"zonator","zonator","Utilities for Zonation Spatial Conservation Prioritization","0.5.7","FreeBSD","6.0.1",11,">= 2.15.2"
"cleanEHR","cleanEHR","The Critical Care Clinical Data Processing Tools","0.1","GPL-3","5.0.1",12,">= 3.1.0"
"gofastr","gofastr","Fast DocumentTermMatrix and TermDocumentMatrix Creation","0.1.1","GPL-2","5.0.1",7,">= 3.2.2"
"BisRNA","BisRNA","Analysis of RNA Cytosine-5 Methylation","0.2.1","GPL (>= 2)",NA,7,">= 3.3.2"
"clustEff","clustEff","Clusters of Effect Curves in Quantile Regression Models","0.1.0","GPL-2","6.0.1",3,NA
"GMAC","GMAC","Genomic Mediation Analysis with Adaptive Confounding Adjustment","1.0","GPL",NA,2,NA
"elo","elo","Elo Ratings","0.1.2","GPL (>= 2)","6.0.1",5,">= 3.3.1"
"libcoin","libcoin","Linear Test Statistics for Permutation Inference","0.9-0","GPL-2",NA,3,">= 3.3.0"
"corpus","corpus","Text Corpus Analysis","0.2-0","Apache License (== 2.0) | file LICENSE",NA,1,NA
"inum","inum","Interval and Enum-Type Representation of Vectors","0.9-0","GPL-2",NA,1,">= 3.3.0"
"refset","refset","Subsets with Reference Semantics","0.1.0","GPL-2",NA,3,NA
"parsemsf","parsemsf","Parse Thermo MSF Files and Estimate Protein Abundances","0.1.0","GPL-2","5.0.1",10,">= 3.2.4"
"Inventorymodel","Inventorymodel","Inventory Models","1.0.3","GPL-2",NA,2,">= 2.15.0"
"plotrr","plotrr","Making Visual Exploratory Data Analysis Easier","0.2.0","MIT + file LICENSE","5.0.1.9000",3,NA
"mazeGen","mazeGen","Elithorn Maze Generator","0.1.0","GPL-3","5.0.1",2,NA
"mdw","mdw","Maximum Diversity Weighting","2017.8-27","GPL-2","6.0.1.9000",2,">= 3.3.0"
"networkGen","networkGen","Network Maze Generator","0.1.0","GPL-3","6.0.1",3,NA
"striprtf","striprtf","Extract Text from RTF File","0.2.2","MIT + file LICENSE","5.0.1",5,">= 2.10"
"xesreadR","xesreadR","Read and Write XES Files","0.1.0","MIT + file LICENSE","6.0.1",8,">= 3.0.0"
"EAinference","EAinference","Simulation Based Inference of Lasso Estimator","0.2.0","GPL (>= 2)","6.0.1",14,">= 3.2.3"
"harrietr","harrietr","Wrangle Phylogenetic Distance Matrices and Other Utilities","0.2.2","GPL-3 | file LICENSE","6.0.1",7,">= 3.3.0"
"NestedCategBayesImpute","NestedCategBayesImpute","Modeling and Generating Synthetic Versions of Nested Categorical","1.0.0","GPL (>= 3)",NA,5,NA
"adapr","adapr","Implementation of an Accountable Data Analysis Process","1.0.1","LGPL-2","5.0.1",14,">= 3.1"
"goftte","goftte","Goodness-of-Fit for Time-to-Event Data","1.0.1","GPL",NA,4,">= 3.0.3"
"passport","passport","Travel Smoothly Between Country Name and Code Formats","0.1.1","GPL-3 | file LICENSE","6.0.1",12,">= 3.1.0"
"SASmarkdown","SASmarkdown","'SAS' Markdown","0.3.3","MIT + file LICENSE","6.0.1",1,NA
"MUS","MUS","Monetary Unit Sampling and Estimation Methods, Widely Used in","0.1.4","GPL (>= 2)",NA,1,">= 3.3.2"
"Dforest","Dforest","Decision Forest","0.4.0","GPL-2","5.0.1",4,">= 3.0"
"phase1RMD","phase1RMD","Repeated Measurement Design for Phase I Clinical Trial","1.0.5","GPL (>= 2)",NA,5,">= 3.0.0"
"simEd","simEd","Simulation Education","1.0.0","GPL (>= 2)",NA,6,NA
"cctools","cctools","Tools for the Continuous Convolution Trick in Nonparametric","0.1.0","GPL-3","6.0.1",6,NA
"unitizer","unitizer","Interactive R Unit Tests","1.4.0","GPL (>= 2)","6.0.1",10,NA
"CorporaCoCo","CorporaCoCo","Corpora Co-Occurrence Comparison","1.0-1","GPL (>= 3)",NA,7,">= 3.1.0"
"IDCard","IDCard","Update Chinese ID Card Number to Eighteen Digits","0.1.0","GPL-3",NA,0,NA
"MHTdiscrete","MHTdiscrete","Multiple Hypotheses Testing for Discrete Data","0.1.0","GPL (>= 2)","5.0.1",0,NA
"powdist","powdist","Power and Reversal Power Distributions","0.1.2","GPL-3","6.0.1",2,">= 3.1.0"
"futility","futility","Interim Analysis of Operational Futility in Randomized Trials","0.1","GPL-2","6.0.1",5,NA
"KMgene","KMgene","Gene-Based Association Analysis for Complex Traits","1.0","GPL (>= 2)","6.0.0",6,NA
"LCF","LCF","Linear Combination Fitting","1.6-6","GPL-3","5.0.1",1,">= 3.2.1"
"ManifoldOptim","ManifoldOptim","An R Interface to the ROPTLIB Library for Riemannian Manifold","0.1.0","GPL (>= 2)","5.0.1",4,NA
"epicontacts","epicontacts","Handling, Visualisation and Analysis of Epidemiological Contacts","1.0.0","GPL (>= 2)","6.0.1",14,NA
"ICRanks","ICRanks","Simultaneous Confidence Intervals for Ranks","1.0","GPL (>= 2)","6.0.1.9000",3,NA
"RcppHMM","RcppHMM","Rcpp Hidden Markov Model","1.0.1","GPL (>= 2)",NA,2,NA
"RcppTN","RcppTN","Rcpp-Based Truncated Normal Distribution RNG and Family","0.2-1","GPL (>= 2)","6.0.1",8,NA
"AWR.Athena","AWR.Athena","'AWS' Athena DBI Wrapper","1.1.0","AGPL-3","6.0.1",3,NA
"wicket","wicket","Utilities to Handle WKT Spatial Data","0.2.0","MIT + file LICENSE","5.0.1",6,NA
"easyAHP","easyAHP","Analytic Hierarchy Process (AHP)","0.1.0","GPL-3",NA,0,NA
"xslt","xslt","XSLT 1.0 Transformations","1.0","GPL (>= 2)","5.0.1.9000",4,NA
"gamreg","gamreg","Robust and Sparse Regression via Gamma-Divergence","0.1","GPL (>= 2)","5.0.1",7,NA
"revgeo","revgeo","Reverse Geocoding with the Photon Geocoder for OpenStreetMap and","0.11","GPL (>= 3.0)","6.0.1.9000",2,">= 3.3.2"
"spiderbar","spiderbar","Parse and Test Robots Exclusion Protocol Files and Rules","0.2.0","MIT + file LICENSE","6.0.1",5,">= 3.2.0"
"sppmix","sppmix","Modeling Spatial Poisson and Related Point Processes","1.0.0.0","CC BY-NC-SA 4.0","5.0.1",18,">= 3.2.1"
"modest","modest","Model-Based Dose Escalation Shiny Tools","0.1","GPL-2",NA,3,NA
"ICCbin","ICCbin","Facilitates Clustered Binary Data Generation, and Estimation of","1.0","GPL (>= 2)","5.0.1",1,NA
"dparser","dparser","Port of Dparser Package","0.1.3","BSD_3_clause + file LICENSE","6.0.1",7,">= 3.2.3"
"StakeholderAnalysis","StakeholderAnalysis","Measuring Stakeholder Influence","1.0","GPL (>= 2)",NA,0,">= 3.2.3"
"qboxplot","qboxplot","Quantile-Based Boxplot","0.1","GPL-2",NA,2,NA
"rsample","rsample","General Resampling Infrastructure","0.0.1","GPL-2","6.0.1",11,">= 3.3.3"
"ThankYouStars","ThankYouStars","Give your Dependencies Stars on GitHub!","0.1.0","MIT + file LICENSE","6.0.1",3,NA
"BatchMap","BatchMap","Software for the Creation of High Density Linkage Maps in","1.0.0.0","GPL-3","6.0.1",8,">= 3.2.0"
"anocva","anocva","A Non-Parametric Statistical Test to Compare Clustering","0.1.0","GPL (>= 3)","5.0.1",3,">= 2.10.0"
"PdPDB","PdPDB","Pattern Discovery in PDB Structures of Metalloproteins","1.0","MIT + file LICENSE","5.0.1",1,NA
"rGoodData","rGoodData","GoodData API Client Package","0.1.0","GPL","6.0.1",6,NA
"rLDCP","rLDCP","Text Generation from Data","1.0.0","GPL (>= 2) | file LICENSE","5.0.1",3,NA
"rODE","rODE","Ordinary Differential Equation (ODE) Solvers Written in R Using","0.99.4","GPL-2","6.0.1",8,">= 3.3.0"
"geojson","geojson","Classes for 'GeoJSON'","0.1.0","MIT + file LICENSE","5.0.1",12,NA
"epxToR","epxToR","Import 'Epidata' XML Files '.epx'","0.1-0","GPL-3",NA,2,NA
"Diderot","Diderot","Bibliographic Network Analysis","0.1","GPL (>= 2)",NA,11,"> 3.0.1"
"RcppQuantuccia","RcppQuantuccia","R Bindings to the 'Quantuccia' Header-Only Essentials of","0.0.1","GPL (>= 2)","6.0.1",3,NA
"ArCo","ArCo","Artificial Counterfactual Package","0.1-1","MIT + file LICENSE","6.0.1",3,NA
"lplyr","lplyr","'dplyr' Verbs for Lists and Other Verbs for Data Frames","0.1.6","MIT + file LICENSE","5.0.1",8,">= 3.1.3"
"Pstat","Pstat","Assessing Pst Statistics","1.0","GPL-2",NA,0,NA
"RJSplot","RJSplot","Interactive Graphs with R","2.1","CC BY-NC-SA 4.0",NA,1,">= 3.0.0"
"slowraker","slowraker","A Slow Version of the Rapid Automatic Keyword Extraction (RAKE)","0.1.0","MIT + file LICENSE","6.0.1.9000",7,">= 3.1"
"infraFDTD.assist","infraFDTD.assist","IO Help for infraFDTD Model","0.5","GPL (>= 2)",NA,2,NA
"MBHdesign","MBHdesign","Spatial Designs for Ecological and Environmental Surveys","1.0.60","GPL (>= 2)",NA,10,NA
"phylocanvas","phylocanvas","Interactive Phylogenetic Trees Using the 'Phylocanvas'","0.1.0","MIT + file LICENSE","5.0.1",7,">= 3.3.1"
"rsurfer","rsurfer","Manipulating 'Freesurfer' Generated Data","0.1","MIT + file LICENSE","6.0.1",2,">= 3.3.3"
"coppeCosenzaR","coppeCosenzaR","COPPE-Cosenza Fuzzy Hierarchy Model","0.1.0","GPL-2 | file LICENSE","6.0.1",2,">= 3.2.2"
"vfcp","vfcp","Computation of v Values for U and Copula C(U, v)","0.1.0","GPL (>= 3)","6.0.1",3,NA
"countyfloods","countyfloods","Quantify United States County-Level Flood Measurements","0.0.1","GPL (>= 2)","6.0.1",14,">= 2.10"
"FinAna","FinAna","Financial Analysis and Regression Diagnostic Analysis","0.1.0","GPL (>= 2)",NA,0,NA
"kaphom","kaphom","Test the Homogeneity of Kappa Statistics","0.1.0","GPL-3","6.0.1",1,NA
"meanr","meanr","Basic Sentiment Analysis Scorer","0.1-0","BSD 2-clause License + file LICENSE","6.0.1",0,">= 3.0.0"
"routr","routr","A Simple Router for HTTP and WebSocket Requests","0.2.0","MIT + file LICENSE","6.0.1",12,NA
"GerminaR","GerminaR","Germination Indexes for Seed Germination Variables for","1.0","MIT + file LICENSE","5.0.1",11,">= 3.2.3"
"WWR","WWR","Weighted Win Loss Statistics and their Variances","1.0.0","GPL (>= 2)","5.0.1",1,">= 3.1.2"
"cbar","cbar","Contextual Bayesian Anomaly Detection in R","0.1.0","Apache License 2.0 | file LICENSE","6.0.1",9,">= 3.3.0"
"MOEADr","MOEADr","Component-Wise MOEA/D Implementation","0.2.0","GPL-2","6.0.1",8,">= 3.3.0"
"MoLE","MoLE","Modeling Language Evolution","1.0.0","GPL-2","6.0.1",0,">= 3.0.0"
"nspmix","nspmix","Nonparametric and Semiparametric Mixture Estimation","1.3-0","GPL (>= 2)",NA,4,NA
"optimization","optimization","Multi-Purpose Optimization","1.0-1","GPL (>= 2)",NA,3,">= 3.2.0"
"EfficientMaxEigenpair","EfficientMaxEigenpair","Efficient Initials for Computing the Maximal Eigenpair","0.1.0","MIT + file LICENSE","5.0.1",3,">= 3.3.2"
"MHCtools","MHCtools","Analysis of MHC Data in Non-Model Species","1.0.0","MIT + file LICENSE","6.0.1",1,NA
"WaveLetLongMemory","WaveLetLongMemory","Estimating Long Memory Parameter using Wavelet","0.1.0","GPL",NA,2,NA
"zFactor","zFactor","Calculate the Compressibility Factor 'z' for Hydrocarbon Gases","0.1.4","GPL-2","6.0.1",9,">= 2.10"
"debugme","debugme","Debug R Packages","1.0.1","MIT + file LICENSE","5.0.1.9000",5,NA
"docuSignr","docuSignr","Connect to 'DocuSign' API","0.0.1","GPL-3","6.0.1",5,">= 3.2.2"
"groupdata2","groupdata2","Creating Groups from Data","0.1.0","MIT + file LICENSE","5.0.1",11,">= 3.3.1"
"oii","oii","Crosstab and Statistical Tests for OII MSc Stats Course","1.0.1","MIT + file LICENSE","5.0.1",3,">= 3.2.1"
"ROI.plugin.msbinlp","ROI.plugin.msbinlp","'Multi-Solution' Binary Linear Problem Plugin for the 'R'","0.2-5","GPL-3",NA,5,NA
"ROI.plugin.optimx","ROI.plugin.optimx","'ROI'-Plugin 'optimx'","0.2-5","GPL-3",NA,5,NA
"liteq","liteq","Lightweight Portable Message Queue Using 'SQLite'","1.0.0","MIT + file LICENSE","5.0.1.9000",6,NA
"EasyMx","EasyMx","Easy Model-Builder Functions for OpenMx","0.1-3","GPL",NA,2,">= 3.0.0"
"htm2txt","htm2txt","Convert Html into Text","1.0.0","GPL-3","6.0.1",1,">= 3.3.1"
"mafs","mafs","Multiple Automatic Forecast Selection","0.0.1","GPL-2 | file LICENSE","5.0.1",23,NA
"monoreg","monoreg","Bayesian Monotonic Regression Using a Marked Point Process","1.1","GPL (>= 2)",NA,0,NA
"LZeroSpikeInference","LZeroSpikeInference","Exact Spike Train Inference via L0 Optimization","1.0.1","GPL-3","6.0.1",3,NA
"geomedb","geomedb","Fetch 'GeOMe-db' FIMS Data","0.1","GPL-3","5.0.1",3,NA
"sicegar","sicegar","Analysis of Single-Cell Viral Growth Curves","0.1","GPL-2 | GPL-3","5.0.1",6,NA
"vennplot","vennplot","Venn Diagrams in 2D and 3D","0.9.01","GPL (>= 3)","6.0.1",4,NA
"GSMX","GSMX","Multivariate Genomic Selection","0.1","GPL (>= 2)",NA,3,">= 3.0.0"
"rucrdtw","rucrdtw","R Bindings for the UCR Suite","0.1.1","Apache License","5.0.1",7,">= 2.10"
"curstatCI","curstatCI","Confidence Intervals for the Current Status Model","0.1.0","GPL-3","6.0.1",4,">= 2.10"
"icmm","icmm","Empirical Bayes Variable Selection via ICM/M Algorithm","1.0","GPL (>= 2)","5.0.1",3,NA
"iDINGO","iDINGO","Integrative Differential Network Analysis in Genomics","1.0.0","GPL-2","6.0.1",7,NA
"HybridFS","HybridFS","A Hybrid Filter-Wrapper Feature Selection Method","0.1.0","MIT + file LICENSE","6.0.1",5,">= 3.4.1"
"brea","brea","Bayesian Recurrent Event Analysis","0.1.0","GPL-3",NA,0,NA
"colf","colf","Constrained Optimization on Linear Function","0.1.2","MIT + file LICENSE","5.0.1",5,">= 3.2.0"
"RcppBlaze","RcppBlaze","'Rcpp' Integration for the 'Blaze' High-Performance C++ Math","0.1.0","GPL (>= 2)","5.0.1",7,">= 3.0.2"
"Replicate","Replicate","Statistical Metrics for Multisite Replication Studies","1.0.0","GPL-2","6.0.1",2,NA
"BMhyb","BMhyb","Hybrid Trait Evolution under Brownian Motion","1.5.1","GPL (>= 2)",NA,17,NA
"D3partitionR","D3partitionR","Plotting D3 Hierarchical Plots in R and Shiny","0.1","MIT + file LICENSE","5.0.1.9000",2,">= 3.3.1"
"editData","editData","'RStudio' Addin for Editing a 'data.frame'","0.1.0","GPL-3","6.0.1",7,">= 2.10"
"BaTFLED3D","BaTFLED3D","Bayesian Tensor Factorization Linked to External Data","0.1.7","CC BY-NC-SA 4.0","5.0.1",9,">= 3.2.2"
"BrownDog","BrownDog","Brown Dog R Interface","0.2.0","FreeBSD | file LICENSE","5.0.1.9000",4,NA
"DWLasso","DWLasso","Degree Weighted Lasso","0.1.0","GPL-2",NA,3,NA
"DataEntry","DataEntry","Make it Easier to Enter Questionnaire Data","0.9-1","GPL (>= 2)",NA,4,NA
"proustr","proustr","Marcel Proust's Text from 'A La Recherche Du Temps Perdu'","0.1.0","MIT + file LICENSE","6.0.1",1,">= 2.10"
"confinterpret","confinterpret","Descriptive Interpretations of Confidence Intervals","0.1.0","AGPL-3","6.0.1",3,NA
"additiveDEA","additiveDEA","Additive Data Envelopment Analysis Models","1.0","GPL-2","6.0.1",2,">= 3.1.0"
"TSCS","TSCS","Time Series Cointegrated System","0.1.0","GPL (>= 2.0)","6.0.1",5,">= 3.3.3"
"msaR","msaR","Multiple Sequence Alignment for R Shiny","0.1.0","BSL-1.0","5.0.1",5,">= 3.2.2"
"basictabler","basictabler","Construct Rich Tables for Output to 'HTML'/'Excel'","0.1.0","GPL-3","6.0.1",12,">= 3.3.0"
"msu","msu","Multivariate Symmetric Uncertainty and Other Measurements","0.0.1","GPL-3 | file LICENSE","6.0.1",2,">= 3.4.1"
"SimTimeVar","SimTimeVar","Simulate Longitudinal Dataset with Time-Varying Correlated","1.0.0","GPL-2","6.0.1",10,NA
"statsDK","statsDK","A Wrapper for the API of Statistics Denmark","0.1.0","MIT + file LICENSE","6.0.1",12,">= 2.10"
"apercu","apercu","Apercu is Giving you a Quick Look at your Data","0.2.1","CC BY-SA 4.0","6.0.1",2,NA
"CHMM","CHMM","Coupled Hidden Markov Models","0.1.0","GPL-2","6.0.1",1,">= 3.1.0"
"MFKnockoffs","MFKnockoffs","Model-Free Knockoff Filter for Controlled Variable Selection","0.9","GPL-3","6.0.1",19,NA
"ArchaeoPhases","ArchaeoPhases","Post-Processing of the Markov Chain Simulated by 'ChronoModel'","1.0","GPL","5.0.1",8,">= 2.10"
"breakfast","breakfast","Multiple Change-Point Detection and Segmentation","0.1.0","GPL","6.0.1",1,">= 3.4.0"
"glacierSMBM","glacierSMBM","Glacier Surface Mass Balance Model","0.1","GPL (>= 3)",NA,4,">= 2.10"
"isnullptr","isnullptr","Check if an 'externalptr' is a Null Pointer","1.0.0","GPL-3","6.0.1",0,">= 3.0"
"pder","pder","Panel Data Econometrics with R","1.0-0","GPL (>= 2)",NA,0,">= 2.10"
"pifpaf","pifpaf","Potential Impact Fraction and Population Attributable Fraction","1.0.0","GPL-3 | file LICENSE","6.0.1",10,">= 3.4.0"
"ecoseries","ecoseries","An R Interface to Brazilian Central Bank API and IPEA Data","0.0.98","GPL-3","5.0.1.9000",7,">= 3.3.1"
"EventStudy","EventStudy","Event Study Analysis in R","0.30","GPL (>= 2)","6.0.1",18,NA
"importar","importar","Enables Importing/Loadig of Packages or Functions While Creating","0.1.0","GPL-3","6.0.1",2,NA
"kfda","kfda","Kernel Fisher Discriminant Analysis","1.0.0","GPL-3",NA,2,">= 3.0.0"
"LFDREmpiricalBayes","LFDREmpiricalBayes","Estimating Local False Discovery Rates Using Empirical Bayes","1.0","GPL-3",NA,5,">= 2.14.2"
"tinyProject","tinyProject","A Lightweight Template for Data Analysis Projects","0.5","GPL (>= 2)","6.0.1",5,NA
"BNPMIXcluster","BNPMIXcluster","Bayesian Nonparametric Model for Clustering with Mixed Scale","0.1.0","GPL","5.0.1",6,">= 2.10"
"coinmarketcapr","coinmarketcapr","Get Cryptocurrencies Market Cap Prices from Coin Market Cap","0.1","CC0","6.0.1",4,NA
"d3plus","d3plus","Seamless 'D3Plus' Integration","0.1.0","MIT + file LICENSE","6.0.1",2,NA
"econullnetr","econullnetr","Null Model Analysis for Ecological Networks","0.1.0","MIT + file LICENSE","5.0.1",9,">= 2.10"
"prioritylasso","prioritylasso","Analyzing Multiple Omics Data with an Offset Approach","0.1.0","GPL-2","6.0.1",6,">= 2.10.0"
"parlitools","parlitools","Tools for Analysing UK Politics","0.0.2","MIT + file LICENSE","6.0.1",18,">= 2.10.0"
"leabRa","leabRa","The Artificial Neural Networks Algorithm Leabra","0.1.0","GPL-2","6.0.1",4,">= 2.10"
"mosaicModel","mosaicModel","An Interface to Statistical Modeling Independent of Model","0.3.0","MIT + file LICENSE","6.0.1",17,">= 3.1"
"MRFA","MRFA","Fitting and Predicting Large-Scale Nonlinear Regression Problems","0.1","GPL-2 | GPL-3","5.0.1",10,">= 2.14.1"
"OBMbpkg","OBMbpkg","Estimate the Population Size for the Mb Capture-Recapture Model","1.0.0","GPL-3","5.0.1",1,NA
"RcmdrPlugin.sutteForecastR","RcmdrPlugin.sutteForecastR","'Rcmdr' Plugin for Alpha-Sutte Indicator 'sutteForecastR'","1.0.0","GPL (>= 2)",NA,2,">= 3.0"
"regexSelect","regexSelect","Regular Expressions in 'shiny' Select Lists","1.0.0","GPL-2 | GPL-3","6.0.1",2,">= 2.3.0"
"USCF","USCF","Elo Rating of a USCF Member","0.1.3","MIT + file LICENSE","6.0.1",0,NA
"brazilmaps","brazilmaps","Brazilian Maps from Different Geographic Levels","0.1.0","GPL-3","6.0.1",7,">= 3.2.0"
"magicLamp","magicLamp","'WeMo Switch' Smart Plug Utilities","0.1.0","GPL-3","6.0.1",2,NA
"QLearning","QLearning","Reinforcement Learning using the Q Learning Algorithm","0.1.1","GNU General Public License","6.0.1",0,NA
"rstansim","rstansim","Simulation Studies with Stan","0.1.1","GPL (>= 3) | file LICENSE","6.0.1",11,">= 3.2.3"
"softermax","softermax","Read Exported Data from 'SoftMax Pro'","0.3.0","BSD_2_clause + file LICENSE","6.0.1",4,NA
"cptec","cptec","An Interface to the 'CPTEC/INPE' API","0.1.0","GPL-3","6.0.1",4,">= 3.2.0"
"ensemblepp","ensemblepp","Ensemble Postprocessing Data Sets","0.1-0","GPL-2 | GPL-3",NA,10,">= 2.10.0"
"FDRSeg","FDRSeg","FDR-Control in Multiscale Change-Point Segmentation","1.0-2","GPL-3",NA,4,">= 2.15.3"
"ROI.plugin.clp","ROI.plugin.clp","'Clp (Coin-or linear programming)' Plugin for the 'R'","0.1","EPL","6.0.1",7,NA
"binaryGP","binaryGP","Fit and Predict a Gaussian Process Model with (Time-Series)","0.2","GPL-2 | GPL-3","5.0.1",11,">= 2.14.1"
"BMT","BMT","The BMT Distribution","0.1.0.3","GPL (>= 2)","6.0.1",2,NA
"curvecomp","curvecomp","Multiple Curve Comparisons Using Parametric Bootstrap","0.1.0","GPL-2","5.0.1",1,NA
"envDocument","envDocument","Document the R Working Environment","2.3.0","GPL (>= 3.0)","5.0.1",4,NA
"EQUIVNONINF","EQUIVNONINF","Testing for Equivalence and Noninferiority","1.0","CC0",NA,2,">= 3.0.0"
"fusionclust","fusionclust","Clustering and Feature Screening using L1 Fusion Penalty","1.0.0","GPL (>= 2)","6.0.1",5,">= 3.4.1"
"gma","gma","Granger Mediation Analysis","1.0","GPL (>= 2)",NA,3,NA
"IGP","IGP","Interchangeable Gaussian Process Models","0.1.0","GPL-3","6.0.1",13,NA
"kpeaks","kpeaks","Determination of K Using Peak Counts of Features for Clustering","0.1.0","GPL (>= 2)",NA,3,">= 2.10.0"
"SiER","SiER","Signal Extraction Approach for Sparse Multivariate Response","0.1.0","GPL-2","6.0.1.9000",1,NA
"sure","sure","Surrogate Residuals for Ordinal and General Regression Models","0.1.2","GPL (>= 2)","6.0.1",9,">= 3.1"
"BNSL","BNSL","Bayesian Network Structure Learning","0.1.0","GPL (>= 2)",NA,4,NA
"leafSTAR","leafSTAR","Silhouette to Area Ratio of Tilted Surfaces","1.0","AGPL-3","6.0.1",0,">= 3.4.1"
"mcMST","mcMST","A Toolbox for the Multi-Criteria Minimum Spanning Tree Problem","1.0.0","BSD_2_clause + file LICENSE","6.0.1",13,NA
"tsgui","tsgui","Gui for Simulating Time Series","0.0.3","GPL (>= 3)",NA,9,">= 3.0"
"cytominer","cytominer","Methods for Image-Based Cell Profiling","0.1.0","BSD_3_clause + file LICENSE","6.0.1",19,">= 3.3.3"
"randnet","randnet","Random Network Model Selection and Parameter Tuning","0.1","GPL (>= 2)",NA,8,NA
"rbtt","rbtt","Alternative Bootstrap-Based t-Test Aiming to Reduce Type-I Error","0.1.0","GPL-3 | file LICENSE","6.0.1.9000",3,">= 3.3.0"
