"","pkg_name_vec","pkg_title.df"
"bsplus","bsplus","Adds Functionality to the R Markdown + Shiny Bootstrap Framework"
"kernplus","kernplus","A Kernel Regression-Based Multidimensional Wind Turbine Power"
"bigKRLS","bigKRLS","Optimized Kernel Regularized Least Squares"
"data.world","data.world","Main Package for Working with 'data.world' Data Sets"
"factorMerger","factorMerger","Hierarchical Algorithm for Post-Hoc Testing"
"fbar","fbar","An Extensible Approach to Flux Balance Analysis"
"ForestTools","ForestTools","Analysing Remotely Sensed Forest Data"
"APfun","APfun","Geo-Processing Base Functions"
"epidata","epidata","Tools to Retrieve Economic Policy Institute Data Library"
"toxplot","toxplot","Batch Processing, Modeling and Visualizing the Dose-Response of"
"UncertainInterval","UncertainInterval","Uncertain Area Methods for Cut-Point Determination in Tests"
"sparseFLMM","sparseFLMM","Functional Linear Mixed Models for Irregularly or Sparsely"
"cvequality","cvequality","Tests for the Equality of Coefficients of Variation from"
"errorlocate","errorlocate","Locate Errors with Validation Rules"
"mstR","mstR","Procedures to Generate Patterns under Multistage Testing"
"normalr","normalr","Normalisation of Multiple Variables in Large-Scale Datasets"
"bindrcpp","bindrcpp","An 'Rcpp' Interface to Active Bindings"
"geofacet","geofacet","'ggplot2' Faceting Utilities for Geographical Data"
"phantom","phantom","Gene Set Pareto Heterogeneity Analysis of Time-Course Gene"
"SeqKat","SeqKat","Detection of Kataegis"
"encode","encode","Represent Ordered Lists and Pairs as Strings"
"productivity","productivity","Indices of Productivity Using Data Envelopment Analysis (DEA)"
"SubTite","SubTite","Subgroup Specific Optimal Dose Assignment"
"bairt","bairt","Bayesian Analysis of Item Response Theory Models"
"dfped","dfped","Extrapolation and Bridging of Adult Information in Early Phase"
"ssc","ssc","Semi-Supervised Classification Methods"
"quotedargs","quotedargs","A Way of Writing Functions that Quote their Arguments"
"blob","blob","A Simple S3 Class for Representing Vectors of Binary Data"
"interp","interp","Interpolation Methods"
"orthoDr","orthoDr","An Orthogonality Constrained Optimization Approach for"
"windfarmGA","windfarmGA","Genetic Algorithm for Wind Farm Layout Optimization"
"DMRnet","DMRnet","Delete or Merge Regressors Algorithms for Linear and Logistic"
"sfdct","sfdct","Constrained Triangulation for Simple Features"
"DPWeibull","DPWeibull","Dirichlet Process Weibull Mixture Model for Survival Data"
"GPGame","GPGame","Solving Complex Game Problems using Gaussian Processes"
"SetTest","SetTest","Group Testing Procedures for Signal Detection and"
"AdapSamp","AdapSamp","Adaptive Sampling Algorithms"
"horserule","horserule","Flexible Non-Linear Regression with the HorseRule Algorithm"
"incR","incR","Analysis of Incubation Data"
"RNRCS","RNRCS","Download NRCS Data"
"descriptr","descriptr","Descriptive Statistics & Distributions Exploration"
"eventdataR","eventdataR","Event Data Repository"
"rarhsmm","rarhsmm","Regularized Autoregressive Hidden Semi Markov Model"
"gamRR","gamRR","Calculate the RR for the GAM"
"metScanR","metScanR","Find, Map, and Gather Data from Meteorological Stations"
"RNAsmc","RNAsmc","RNA Secondary Structure Module Mining, Comparison and Plotting"
"g2f","g2f","Find and Fill Gaps in Metabolic Networks"
"QuantTools","QuantTools","Enhanced Quantitative Trading Modelling"
"Rgb","Rgb","The R Genome Browser"
"datetime","datetime","Nominal Dates, Times, and Durations"
"splithalf","splithalf","Calculate Task Split Half Reliability Estimates"
"survidm","survidm","Inference and Prediction in an Illness-Death Model"
"wpp2017","wpp2017","World Population Prospects 2017"
"EthSEQ","EthSEQ","Ethnicity Annotation from Whole Exome Sequencing Data"
"metaviz","metaviz","Rainforest Plots for Meta-Analysis"
"MonteCarlo","MonteCarlo","Automatic Parallelized Monte Carlo Simulations"
"rdlocrand","rdlocrand","Local Randomization Methods for RD Designs"
"adaptiveGPCA","adaptiveGPCA","Adaptive Generalized PCA"
"gfmR","gfmR","Implements Group Fused Multinomial Regression"
"patentsview","patentsview","An R Client to the PatentsView API"
"assignPOP","assignPOP","Population Assignment using Genomic, Non-Genetic or Integrated"
"bindr","bindr","Parametrized Active Bindings"
"pacotest","pacotest","Testing for Partial Copulas and the Simplifying Assumption in"
"xtractomatic","xtractomatic","Accessing Environmental Data from ERD's ERDDAP Server"
"aniDom","aniDom","Inferring Dominance Hierarchies and Estimating Uncertainty"
"gfer","gfer","Green Finance and Environmental Risk"
"widyr","widyr","Widen, Process, then Re-Tidy Data"
"datetimeutils","datetimeutils","Utilities for Dates and Times"
"Rcriticor","Rcriticor","Critical Periods"
"rmonad","rmonad","A Monadic Pipeline System"
"sim1000G","sim1000G","Genotype Simulations for Rare or Common Variants Using"
"cronR","cronR","Schedule R Scripts and Processes with the 'cron' Job Scheduler"
"EpiILM","EpiILM","Spatial and Network Based Individual Level Models for Epidemics"
"wgeesel","wgeesel","Weighted Generalized Estimating Equations and Model Selection"
"lime","lime","Local Interpretable Model-Agnostic Explanations"
"anomalyDetection","anomalyDetection","Implementation of Augmented Network Log Anomaly Detection"
"ACMEeqtl","ACMEeqtl","Estimation of Interpretable eQTL Effect Sizes Using a Log of"
"KraljicMatrix","KraljicMatrix","A Quantified Implementation of the Kraljic Matrix"
"origami","origami","Generalized Framework for Cross-Validation"
"robets","robets","Forecasting Time Series with Robust Exponential Smoothing"
"slickR","slickR","Create Interactive Carousels with the JavaScript 'Slick' Library"
"adeba","adeba","Adaptive Density Estimation by Bayesian Averaging"
"hansard","hansard","Provides Easy Downloading Capabilities for the UK Parliament API"
"RcmdrPlugin.aRnova","RcmdrPlugin.aRnova","R Commander Plug-in for Repeated-Measures ANOVA"
"tmcn","tmcn","A Text Mining Toolkit for Chinese"
"OpenML","OpenML","Exploring Machine Learning Better, Together"
"rpostgisLT","rpostgisLT","Managing Animal Movement Data with 'PostGIS' and R"
"ashr","ashr","Methods for Adaptive Shrinkage, using Empirical Bayes"
"DoE.MIParray","DoE.MIParray","Creation of Arrays by Mixed Integer Programming"
"fauxpas","fauxpas","HTTP Error Helpers"
"GetITRData","GetITRData","Reading Quarterly Financial Reports from Bovespa's ITR System"
"ldhmm","ldhmm","Hidden Markov Model for Return Time-Series Based on Lambda"
"idmTPreg","idmTPreg","Regression Model for Progressive Illness Death Data"
"projector","projector","Project Dense Vectors Representation of Texts on a 2D Plan"
"worldmet","worldmet","Import Surface Meteorological Data from NOAA Integrated Surface"
"zenplots","zenplots","Zigzag Expanded Navigation Plots"
"fuzzywuzzyR","fuzzywuzzyR","Fuzzy String Matching"
"photobiologyLamps","photobiologyLamps","Spectral Data of Light Emission by Lamps"
"rospca","rospca","Robust Sparse PCA using the ROSPCA Algorithm"
"nzpullover","nzpullover","Driving Offences in New Zealand Between 2009 and 2016"
"Rcssplot","Rcssplot","Styling of Graphics using Cascading Style Sheets"
"rpgm","rpgm","Fast Simulation of Normal Random Variables"
"stoRy","stoRy","Theme Enrichment Analysis for Stories"
"bea.R","bea.R","Bureau of Economic Analysis API"
"CPBayes","CPBayes","Bayesian Meta Analysis for Studying Cross-Phenotype Genetic"
"multfisher","multfisher","Optimal Exact Tests for Multiple Binary Endpoints"
"BEACH","BEACH","Biometric Exploratory Analysis Creation House"
"lassopv","lassopv","Nonparametric P-Value Estimation for Predictors in Lasso"
"suncalc","suncalc","Compute Sun Position, Sunlight Phases, Moon Position and Lunar"
"VeryLargeIntegers","VeryLargeIntegers","Store and Manage Arbitrarily Big Integers"
"CircMLE","CircMLE","Maximum Likelihood Analysis of Circular Data"
"sNPLS","sNPLS","NPLS Regression with L1 Penalization"
"confSAM","confSAM","Estimates and Bounds for the False Discovery Proportion, by"
"ratios","ratios","Ratios Between Two Data Sets and Correction for Adhering"
"ggmuller","ggmuller","Create Muller Plots of Evolutionary Dynamics"
"PakPC2017","PakPC2017","Pakistan Population Census 2017"
"Brundle","Brundle","Normalisation Tools for Inter-Condition Variability of ChIP-Seq"
"clust.bin.pair","clust.bin.pair","Statistical Methods for Analyzing Clustered Matched Pair Data"
"ratesci","ratesci","Confidence Intervals for Comparisons of Binomial or Poisson"
"EMMIXcskew","EMMIXcskew","Fitting Mixtures of CFUST Distributions"
"inferr","inferr","Inferential Statistics"
"mopa","mopa","Species Distribution MOdeling with Pseudo-Absences"
"Rilostat","Rilostat","ILO Open Data via Ilostat Bulk Download Facility or SDMX Web"
"revdbayes","revdbayes","Ratio-of-Uniforms Sampling for Bayesian Extreme Value Analysis"
"swCRTdesign","swCRTdesign","Stepped Wedge Cluster Randomized Trial (SW CRT) Design"
"tatoo","tatoo","Combine and Export Data Frames"
"fivethirtyeight","fivethirtyeight","Data and Code Behind the Stories and Interactives at"
"tidygraph","tidygraph","A Tidy API for Graph Manipulation"
"npcopTest","npcopTest","Non Parametric Test for Detecting Changes in the Copula"
"vote","vote","Election Vote Counting"
"adepro","adepro","A Shiny Application for the (Audio-)Visualization of Adverse"
"OutliersO3","OutliersO3","Draws Overview of Outliers (O3) Plot"
"PTXQC","PTXQC","Quality Report Generation for MaxQuant Results"
"valuer","valuer","Pricing of Variable Annuities"
"MBC","MBC","Multivariate Bias Correction of Climate Model Outputs"
"multiApply","multiApply","Apply Functions to Multiple Multidimensional Arguments"
"quantoptr","quantoptr","Algorithms for Quantile- And Mean-Optimal Treatment Regimes"
"survivalsvm","survivalsvm","Survival Support Vector Analysis"
"aVirtualTwins","aVirtualTwins","Adaptation of Virtual Twins Method from Jared Foster"
"gk","gk","g-and-k and g-and-h Distribution Functions"
"pcev","pcev","Principal Component of Explained Variance"
"ICSOutlier","ICSOutlier","Outlier Detection Using Invariant Coordinate Selection"
"pipeGS","pipeGS","Permutation p-Value Estimation for Gene Set Tests"
"SpaDES.addins","SpaDES.addins","Development Tools for 'SpaDES' and 'SpaDES' Modules"
"cifti","cifti","Toolbox for Connectivity Informatics Technology Initiative"
"gifti","gifti","Reads in Neuroimaging 'GIFTI' Files with Geometry Information"
"modmarg","modmarg","Calculating Marginal Effects and Levels with Errors"
"opticut","opticut","Likelihood Based Optimal Partitioning for Indicator Species"
"denoiSeq","denoiSeq","Differential Expression Analysis Using a Bottom-Up Model"
"nlsr","nlsr","Functions for Nonlinear Least Squares Solutions"
"OOR","OOR","Optimistic Optimization in R"
"BeSS","BeSS","Best Subset Selection for Sparse Generalized Linear Model and"
"ggQC","ggQC","Quality Control Charts for the Grammar of Graphics Plotting"
"RBMRB","RBMRB","BMRB Data Access and Visualization"
"robustBLME","robustBLME","Robust Bayesian Linear Mixed-Effects Models using ABC"
"spatstat.local","spatstat.local","Extension to 'spatstat' for Local Composite Likelihood"
"tibbletime","tibbletime","Time Aware Tibbles"
"atsd","atsd","Support Querying Axibase Time-Series Database"
"ludic","ludic","Linkage Using Diagnosis Codes"
"phylotate","phylotate","Phylogenies with Annotations"
"tRophicPosition","tRophicPosition","Bayesian Trophic Position Calculation with Stable Isotopes"
"waver","waver","Calculate Fetch and Wave Energy"
"clustRcompaR","clustRcompaR","Easy Interface for Clustering a Set of Documents and Exploring"
"libsoc","libsoc","Read, Create and Write 'PharmML' Standard Output (so) XML Files"
"zeallot","zeallot","Multiple and Unpacking Variable Assignment"
"ANOVAreplication","ANOVAreplication","Test ANOVA Replications by Means of the Prior Predictive p-Value"
"bigtcr","bigtcr","Nonparametric Analysis of Bivariate Gap Time with Competing"
"kokudosuuchi","kokudosuuchi","R Interface to e-Stat API"
"languagelayeR","languagelayeR","Access the 'languagelayer' API"
"censusr","censusr","Collect Data from the Census API"
"diagis","diagis","Diagnostic Plot and Multivariate Summary Statistics of Weighted"
"finch","finch","Parse Darwin Core Files"
"gradDescent","gradDescent","Gradient Descent for Regression Tasks"
"heims","heims","Decode and Validate HEIMS Data from Department of Education,"
"datapasta","datapasta","RStudio Addins for Data Copy-Pasta"
"highlightHTML","highlightHTML","Highlight HTML Text and Tables"
"TCIApathfinder","TCIApathfinder","Client for the Cancer Imaging Archive REST API"
"BibPlots","BibPlots","Plot Functions for JIF (Journal Impact Factor) and Paper"
"Xplortext","Xplortext","Statistical Analysis of Textual Data"
"gLRTH","gLRTH","Likelihood Ratio Test for Genome-Wide Association under Genetic"
"OmicsPLS","OmicsPLS","Perform Two-Way Orthogonal Partial Least Squares"
"pals","pals","Color Palettes, Colormaps, and Tools to Evaluate Them"
"CreditRisk","CreditRisk","Evaluation of Credit Risk with Structural and Reduced Form"
"LinkageMapView","LinkageMapView","Plot Linkage Group Maps with Quantitative Trait Loci"
"nofrills","nofrills","Low-Cost Anonymous Functions"
"rMR","rMR","Importing Data from Loligo Systems Software, Calculating"
"tropAlgebra","tropAlgebra","Tropical Algebra Functions"
"dat","dat","Tools for Data Manipulation"
"equSA","equSA","Estimate a Single or Multiple Graphical Models and Construct"
"abjutils","abjutils","Useful Tools for Jurimetrical Analysis Used by the Brazilian"
"lbreg","lbreg","Log-Binomial Regression with Constrained Optimization"
"PSW","PSW","Propensity Score Weighting Methods for Dichotomous Treatments"
"RNAseqNet","RNAseqNet","Log-Linear Poisson Graphical Model with Hot-Deck Multiple"
"rrpack","rrpack","Reduced-Rank Regression"
"canprot","canprot","Chemical Composition of Differential Protein Expression"
"dtree","dtree","Decision Trees"
"SMMA","SMMA","Soft Maximin Estimation for Large Scale Array-Tensor Models"
"mau","mau","Decision Models with Multi Attribute Utility Theory"
"optimus","optimus","Model Based Diagnostics for Multivariate Cluster Analysis"
"ROI.plugin.lpsolve","ROI.plugin.lpsolve","'lp_solve' Plugin for the 'R' Optimization Interface"
"splashr","splashr","Tools to Work with the 'Splash' 'JavaScript' Rendering and"
"easySdcTable","easySdcTable","Easy Interface to the Statistical Disclosure Control Package"
"COMBAT","COMBAT","A Combined Association Test for Genes using Summary Statistics"
"cordillera","cordillera","Calculation of the OPTICS Cordillera"
"photobiologyLEDs","photobiologyLEDs","Spectral Data for Light-Emitting-Diodes"
"Emcdf","Emcdf","Computation and Visualization of Empirical Joint Distribution"
"preText","preText","Diagnostics to Assess the Effects of Text Preprocessing"
"PRIMME","PRIMME","Eigenvalues and Singular Values and Vectors from Large Matrices"
"rSQM","rSQM","Statistical Downscaling Toolkit for Climate Change Scenario"
"tsdf","tsdf","Two-/Three-Stage Designs for Phase 1&2 Clinical Trials"
"brant","brant","Test for Parallel Regression Assumption"
"IATScore","IATScore","Scoring Algorithm for the Implicit Association Test (IAT)"
"influxdbr","influxdbr","R Interface to InfluxDB"
"MultiRNG","MultiRNG","Multivariate Pseudo-Random Number Generation"
"RandPro","RandPro","Random Projection"
"rFSA","rFSA","Feasible Solution Algorithm for Finding Best Subsets and"
"UnivRNG","UnivRNG","Univariate Pseudo-Random Number Generation"
"elevatr","elevatr","Access Elevation Data from Various APIs"
"Rbgs","Rbgs","Video Reading and Background Subtraction in Videos"
"RGBM","RGBM","LS-TreeBoost and LAD-TreeBoost for Gene Regulatory Network"
"univOutl","univOutl","Detection of Univariate Outliers"
"constants","constants","Reference on Constants, Units and Uncertainty"
"csv","csv","Read and Write CSV Files with Selected Conventions"
"dynsbm","dynsbm","Dynamic Stochastic Block Models"
"sgee","sgee","Stagewise Generalized Estimating Equations"
"grove","grove","Wavelet Functional ANOVA Through Markov Groves"
"fmbasics","fmbasics","Financial Market Building Blocks"
"MatManlyMix","MatManlyMix","Matrix Clustering with Gaussian and Manly Mixture Models"
"fastrtext","fastrtext","'fastText' Wrapper for Text Classification and Word"
"fmdates","fmdates","Financial Market Date Calculations"
"ipft","ipft","Indoor Positioning Fingerprinting Toolset"
"SparseDC","SparseDC","Implementation of SparseDC Algorithm"
"tidystringdist","tidystringdist","String Distance Calculation with Tidy Data Principles"
"Biolinv","Biolinv","Modelling and Forecasting Biological Invasions"
"miRNAss","miRNAss","Genome-Wide Discovery of Pre-miRNAs with few Labeled Examples"
"naivebayes","naivebayes","High Performance Implementation of the Naive Bayes Algorithm"
"sofa","sofa","Connector to 'CouchDB'"
"bhm","bhm","Biomarker Threshold Models"
"rxylib","rxylib","Import XY-Data into R"
"widgetframe","widgetframe","'Htmlwidgets' in Responsive 'iframes'"
"msde","msde","Bayesian Inference for Multivariate Stochastic Differential"
"mudfold","mudfold","A Nonparametric Model for Unfolding Scale Analysis"
"AmesHousing","AmesHousing","The Ames Iowa Housing Data"
"PKPDmisc","PKPDmisc","Pharmacokinetic and Pharmacodynamic Data Management Functions"
"stringformattr","stringformattr","Dynamic String Formatting"
"SyncRNG","SyncRNG","A Synchronized Tausworthe RNG for R and Python"
"zonator","zonator","Utilities for Zonation Spatial Conservation Prioritization"
"cleanEHR","cleanEHR","The Critical Care Clinical Data Processing Tools"
"gofastr","gofastr","Fast DocumentTermMatrix and TermDocumentMatrix Creation"
"BisRNA","BisRNA","Analysis of RNA Cytosine-5 Methylation"
"clustEff","clustEff","Clusters of Effect Curves in Quantile Regression Models"
"GMAC","GMAC","Genomic Mediation Analysis with Adaptive Confounding Adjustment"
"elo","elo","Elo Ratings"
"libcoin","libcoin","Linear Test Statistics for Permutation Inference"
"corpus","corpus","Text Corpus Analysis"
"inum","inum","Interval and Enum-Type Representation of Vectors"
"refset","refset","Subsets with Reference Semantics"
"parsemsf","parsemsf","Parse Thermo MSF Files and Estimate Protein Abundances"
"Inventorymodel","Inventorymodel","Inventory Models"
"plotrr","plotrr","Making Visual Exploratory Data Analysis Easier"
"mazeGen","mazeGen","Elithorn Maze Generator"
"mdw","mdw","Maximum Diversity Weighting"
"networkGen","networkGen","Network Maze Generator"
"striprtf","striprtf","Extract Text from RTF File"
"xesreadR","xesreadR","Read and Write XES Files"
"EAinference","EAinference","Simulation Based Inference of Lasso Estimator"
"harrietr","harrietr","Wrangle Phylogenetic Distance Matrices and Other Utilities"
"NestedCategBayesImpute","NestedCategBayesImpute","Modeling and Generating Synthetic Versions of Nested Categorical"
"adapr","adapr","Implementation of an Accountable Data Analysis Process"
"goftte","goftte","Goodness-of-Fit for Time-to-Event Data"
"passport","passport","Travel Smoothly Between Country Name and Code Formats"
"SASmarkdown","SASmarkdown","'SAS' Markdown"
"MUS","MUS","Monetary Unit Sampling and Estimation Methods, Widely Used in"
"Dforest","Dforest","Decision Forest"
"phase1RMD","phase1RMD","Repeated Measurement Design for Phase I Clinical Trial"
"simEd","simEd","Simulation Education"
"cctools","cctools","Tools for the Continuous Convolution Trick in Nonparametric"
"unitizer","unitizer","Interactive R Unit Tests"
"CorporaCoCo","CorporaCoCo","Corpora Co-Occurrence Comparison"
"IDCard","IDCard","Update Chinese ID Card Number to Eighteen Digits"
"MHTdiscrete","MHTdiscrete","Multiple Hypotheses Testing for Discrete Data"
"powdist","powdist","Power and Reversal Power Distributions"
"futility","futility","Interim Analysis of Operational Futility in Randomized Trials"
"KMgene","KMgene","Gene-Based Association Analysis for Complex Traits"
"LCF","LCF","Linear Combination Fitting"
"ManifoldOptim","ManifoldOptim","An R Interface to the ROPTLIB Library for Riemannian Manifold"
"epicontacts","epicontacts","Handling, Visualisation and Analysis of Epidemiological Contacts"
"ICRanks","ICRanks","Simultaneous Confidence Intervals for Ranks"
"RcppHMM","RcppHMM","Rcpp Hidden Markov Model"
"RcppTN","RcppTN","Rcpp-Based Truncated Normal Distribution RNG and Family"
"AWR.Athena","AWR.Athena","'AWS' Athena DBI Wrapper"
"wicket","wicket","Utilities to Handle WKT Spatial Data"
"easyAHP","easyAHP","Analytic Hierarchy Process (AHP)"
"xslt","xslt","XSLT 1.0 Transformations"
"gamreg","gamreg","Robust and Sparse Regression via Gamma-Divergence"
"revgeo","revgeo","Reverse Geocoding with the Photon Geocoder for OpenStreetMap and"
"spiderbar","spiderbar","Parse and Test Robots Exclusion Protocol Files and Rules"
"sppmix","sppmix","Modeling Spatial Poisson and Related Point Processes"
"modest","modest","Model-Based Dose Escalation Shiny Tools"
"ICCbin","ICCbin","Facilitates Clustered Binary Data Generation, and Estimation of"
"dparser","dparser","Port of Dparser Package"
"StakeholderAnalysis","StakeholderAnalysis","Measuring Stakeholder Influence"
"qboxplot","qboxplot","Quantile-Based Boxplot"
"rsample","rsample","General Resampling Infrastructure"
"ThankYouStars","ThankYouStars","Give your Dependencies Stars on GitHub!"
"BatchMap","BatchMap","Software for the Creation of High Density Linkage Maps in"
"anocva","anocva","A Non-Parametric Statistical Test to Compare Clustering"
"PdPDB","PdPDB","Pattern Discovery in PDB Structures of Metalloproteins"
"rGoodData","rGoodData","GoodData API Client Package"
"rLDCP","rLDCP","Text Generation from Data"
"rODE","rODE","Ordinary Differential Equation (ODE) Solvers Written in R Using"
"geojson","geojson","Classes for 'GeoJSON'"
"epxToR","epxToR","Import 'Epidata' XML Files '.epx'"
"Diderot","Diderot","Bibliographic Network Analysis"
"RcppQuantuccia","RcppQuantuccia","R Bindings to the 'Quantuccia' Header-Only Essentials of"
"ArCo","ArCo","Artificial Counterfactual Package"
"lplyr","lplyr","'dplyr' Verbs for Lists and Other Verbs for Data Frames"
"Pstat","Pstat","Assessing Pst Statistics"
"RJSplot","RJSplot","Interactive Graphs with R"
"slowraker","slowraker","A Slow Version of the Rapid Automatic Keyword Extraction (RAKE)"
"infraFDTD.assist","infraFDTD.assist","IO Help for infraFDTD Model"
"MBHdesign","MBHdesign","Spatial Designs for Ecological and Environmental Surveys"
"phylocanvas","phylocanvas","Interactive Phylogenetic Trees Using the 'Phylocanvas'"
"rsurfer","rsurfer","Manipulating 'Freesurfer' Generated Data"
"coppeCosenzaR","coppeCosenzaR","COPPE-Cosenza Fuzzy Hierarchy Model"
"vfcp","vfcp","Computation of v Values for U and Copula C(U, v)"
"countyfloods","countyfloods","Quantify United States County-Level Flood Measurements"
"FinAna","FinAna","Financial Analysis and Regression Diagnostic Analysis"
"kaphom","kaphom","Test the Homogeneity of Kappa Statistics"
"meanr","meanr","Basic Sentiment Analysis Scorer"
"routr","routr","A Simple Router for HTTP and WebSocket Requests"
"GerminaR","GerminaR","Germination Indexes for Seed Germination Variables for"
"WWR","WWR","Weighted Win Loss Statistics and their Variances"
"cbar","cbar","Contextual Bayesian Anomaly Detection in R"
"MOEADr","MOEADr","Component-Wise MOEA/D Implementation"
"MoLE","MoLE","Modeling Language Evolution"
"nspmix","nspmix","Nonparametric and Semiparametric Mixture Estimation"
"optimization","optimization","Multi-Purpose Optimization"
"EfficientMaxEigenpair","EfficientMaxEigenpair","Efficient Initials for Computing the Maximal Eigenpair"
"MHCtools","MHCtools","Analysis of MHC Data in Non-Model Species"
"WaveLetLongMemory","WaveLetLongMemory","Estimating Long Memory Parameter using Wavelet"
"zFactor","zFactor","Calculate the Compressibility Factor 'z' for Hydrocarbon Gases"
"debugme","debugme","Debug R Packages"
"docuSignr","docuSignr","Connect to 'DocuSign' API"
"groupdata2","groupdata2","Creating Groups from Data"
"oii","oii","Crosstab and Statistical Tests for OII MSc Stats Course"
"ROI.plugin.msbinlp","ROI.plugin.msbinlp","'Multi-Solution' Binary Linear Problem Plugin for the 'R'"
"ROI.plugin.optimx","ROI.plugin.optimx","'ROI'-Plugin 'optimx'"
"liteq","liteq","Lightweight Portable Message Queue Using 'SQLite'"
"EasyMx","EasyMx","Easy Model-Builder Functions for OpenMx"
"htm2txt","htm2txt","Convert Html into Text"
"mafs","mafs","Multiple Automatic Forecast Selection"
"monoreg","monoreg","Bayesian Monotonic Regression Using a Marked Point Process"
"LZeroSpikeInference","LZeroSpikeInference","Exact Spike Train Inference via L0 Optimization"
"geomedb","geomedb","Fetch 'GeOMe-db' FIMS Data"
"sicegar","sicegar","Analysis of Single-Cell Viral Growth Curves"
"vennplot","vennplot","Venn Diagrams in 2D and 3D"
"GSMX","GSMX","Multivariate Genomic Selection"
"rucrdtw","rucrdtw","R Bindings for the UCR Suite"
"curstatCI","curstatCI","Confidence Intervals for the Current Status Model"
"icmm","icmm","Empirical Bayes Variable Selection via ICM/M Algorithm"
"iDINGO","iDINGO","Integrative Differential Network Analysis in Genomics"
"HybridFS","HybridFS","A Hybrid Filter-Wrapper Feature Selection Method"
"brea","brea","Bayesian Recurrent Event Analysis"
"colf","colf","Constrained Optimization on Linear Function"
"RcppBlaze","RcppBlaze","'Rcpp' Integration for the 'Blaze' High-Performance C++ Math"
"Replicate","Replicate","Statistical Metrics for Multisite Replication Studies"
"BMhyb","BMhyb","Hybrid Trait Evolution under Brownian Motion"
"D3partitionR","D3partitionR","Plotting D3 Hierarchical Plots in R and Shiny"
"editData","editData","'RStudio' Addin for Editing a 'data.frame'"
"BaTFLED3D","BaTFLED3D","Bayesian Tensor Factorization Linked to External Data"
"BrownDog","BrownDog","Brown Dog R Interface"
"DWLasso","DWLasso","Degree Weighted Lasso"
"DataEntry","DataEntry","Make it Easier to Enter Questionnaire Data"
"proustr","proustr","Marcel Proust's Text from 'A La Recherche Du Temps Perdu'"
"confinterpret","confinterpret","Descriptive Interpretations of Confidence Intervals"
"additiveDEA","additiveDEA","Additive Data Envelopment Analysis Models"
"TSCS","TSCS","Time Series Cointegrated System"
"msaR","msaR","Multiple Sequence Alignment for R Shiny"
"basictabler","basictabler","Construct Rich Tables for Output to 'HTML'/'Excel'"
"msu","msu","Multivariate Symmetric Uncertainty and Other Measurements"
"SimTimeVar","SimTimeVar","Simulate Longitudinal Dataset with Time-Varying Correlated"
"statsDK","statsDK","A Wrapper for the API of Statistics Denmark"
"apercu","apercu","Apercu is Giving you a Quick Look at your Data"
"CHMM","CHMM","Coupled Hidden Markov Models"
"MFKnockoffs","MFKnockoffs","Model-Free Knockoff Filter for Controlled Variable Selection"
"ArchaeoPhases","ArchaeoPhases","Post-Processing of the Markov Chain Simulated by 'ChronoModel'"
"breakfast","breakfast","Multiple Change-Point Detection and Segmentation"
"glacierSMBM","glacierSMBM","Glacier Surface Mass Balance Model"
"isnullptr","isnullptr","Check if an 'externalptr' is a Null Pointer"
"pder","pder","Panel Data Econometrics with R"
"pifpaf","pifpaf","Potential Impact Fraction and Population Attributable Fraction"
"ecoseries","ecoseries","An R Interface to Brazilian Central Bank API and IPEA Data"
"EventStudy","EventStudy","Event Study Analysis in R"
"importar","importar","Enables Importing/Loadig of Packages or Functions While Creating"
"kfda","kfda","Kernel Fisher Discriminant Analysis"
"LFDREmpiricalBayes","LFDREmpiricalBayes","Estimating Local False Discovery Rates Using Empirical Bayes"
"tinyProject","tinyProject","A Lightweight Template for Data Analysis Projects"
"BNPMIXcluster","BNPMIXcluster","Bayesian Nonparametric Model for Clustering with Mixed Scale"
"coinmarketcapr","coinmarketcapr","Get Cryptocurrencies Market Cap Prices from Coin Market Cap"
"d3plus","d3plus","Seamless 'D3Plus' Integration"
"econullnetr","econullnetr","Null Model Analysis for Ecological Networks"
"prioritylasso","prioritylasso","Analyzing Multiple Omics Data with an Offset Approach"
"parlitools","parlitools","Tools for Analysing UK Politics"
"leabRa","leabRa","The Artificial Neural Networks Algorithm Leabra"
"mosaicModel","mosaicModel","An Interface to Statistical Modeling Independent of Model"
"MRFA","MRFA","Fitting and Predicting Large-Scale Nonlinear Regression Problems"
"OBMbpkg","OBMbpkg","Estimate the Population Size for the Mb Capture-Recapture Model"
"RcmdrPlugin.sutteForecastR","RcmdrPlugin.sutteForecastR","'Rcmdr' Plugin for Alpha-Sutte Indicator 'sutteForecastR'"
"regexSelect","regexSelect","Regular Expressions in 'shiny' Select Lists"
"USCF","USCF","Elo Rating of a USCF Member"
"brazilmaps","brazilmaps","Brazilian Maps from Different Geographic Levels"
"magicLamp","magicLamp","'WeMo Switch' Smart Plug Utilities"
"QLearning","QLearning","Reinforcement Learning using the Q Learning Algorithm"
"rstansim","rstansim","Simulation Studies with Stan"
"softermax","softermax","Read Exported Data from 'SoftMax Pro'"
"cptec","cptec","An Interface to the 'CPTEC/INPE' API"
"ensemblepp","ensemblepp","Ensemble Postprocessing Data Sets"
"FDRSeg","FDRSeg","FDR-Control in Multiscale Change-Point Segmentation"
"ROI.plugin.clp","ROI.plugin.clp","'Clp (Coin-or linear programming)' Plugin for the 'R'"
"binaryGP","binaryGP","Fit and Predict a Gaussian Process Model with (Time-Series)"
